record_kind,target,prev_id,next_id,offset,v101101_native_offset,v101103_break_evidence,classification,final_action,speaker_before,speaker_after,quote_role_around_boundary,RA19B_flow_action,reason,evidence_path
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P055,,,231,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P057,,,36,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P095,,,65,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P102,,,196,195,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,JESUS,,,v101.103 boundary is displaced from native v101.101 offset 195; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P102,,,209,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,JESUS,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P106,,,41,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P108,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P110,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P116,,,218,217,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 217; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P122,,,60,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P122,,,79,78,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 78; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P136,,,158,157,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 157; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P149,,,141,140,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 140; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P153,,,64,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P169,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.SECTION.BENEFITS.P175,,,108,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P046,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P079,,,25,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P091,,,34,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P115,,,65,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P131,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P057,,,78,78,present,V101101_SPEECH_END_BOUNDARY_KEEP,KEEP,JESUS,,,,Exact v101.101 speech-end boundary exists at this offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P083,,,45,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P100,,,40,40,present,V101101_SPEECH_END_BOUNDARY_KEEP,KEEP,JESUS,,,,Exact v101.101 speech-end boundary exists at this offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P004,,,98,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P015,,,84,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P019,,,12,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P035,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P053,,,231,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P055,,,36,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P091,,,65,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,,,196,195,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,JESUS,,,v101.103 boundary is displaced from native v101.101 offset 195; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,,,209,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,JESUS,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P101,,,41,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P103,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P105,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P111,,,218,217,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 217; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,,,60,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,,,79,78,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 78; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,,,158,157,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 157; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P144,,,141,140,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 140; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P148,,,64,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P164,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P170,,,108,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_01.BODY.P014,,,17,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_01.BODY.P021,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_02.BODY.P011,,,264,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_04.BODY.P056,,,18,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_04.BODY.P146,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_06.BODY.P033,,,112,111,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 111; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_06.BODY.P036,,,122,121,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 121; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_07.BODY.P036,,,44,43,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 43; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_09.BODY.P006,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_09.BODY.P019,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_10.BODY.P006,,,283,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_10.BODY.P009,,,269,268,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,JESUS,,,v101.103 boundary is displaced from native v101.101 offset 268; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_10.BODY.P009,,,294,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,JESUS,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_11.BODY.P026,,,29,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_11.BODY.P047,,,27,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_11.BODY.P049,,,61,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_11.BODY.P067,,,39,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_12.BODY.P006,,,163,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_13.BODY.P009,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,,,423,422,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 422; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_13.BODY.P053,,,35,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,,,129,128,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,JESUS,,,v101.103 boundary is displaced from native v101.101 offset 128; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,,,132,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,JESUS,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_13.BODY.P120,,,111,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,,,38,37,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,JESUS,,,v101.103 boundary is displaced from native v101.101 offset 37; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,,,63,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,JESUS,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_13.BODY.P162,,,26,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_14.BODY.P019,,,67,66,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 66; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_15.BODY.P109,,,427,426,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 426; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_15.BODY.P180,,,12,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_16.BODY.P047,,,141,140,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 140; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_16.BODY.P096,,,251,250,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 250; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_16.BODY.P098,,,18,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_17.BODY.P031,,,149,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_17.BODY.P032,,,103,102,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 102; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_17.BODY.P033,,,198,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_17.BODY.P037,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_17.BODY.P050,,,13,,present,V101102_PLUS_DIVINE_START_BOUNDARY_REMOVE,REMOVE,,JESUS,,,Boundary is at a v101.103 divine presentation-run start with no matching v101.101 speech-end boundary; speaker change alone is not paragraph authority.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_17.BODY.P050,,,52,51,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 51; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
CURRENT_V101103_LOCAL_BREAK,PASSION24.TEXT.RELATED_HOUR_17.BODY.P054,,,204,203,present,V101101_SPEECH_END_BOUNDARY_KEEP,REMOVE,JESUS,,,,v101.103 boundary is displaced from native v101.101 offset 203; remove current offset and restore native offset.,v101103/index.html + v101101/index.html
